Starting job 1 at Mo 10. Feb 00:03:44 CET 2025
Configuration: dataset=all_domains_all_samples prompt=markdown_fact_first_few_shot_structured train=markdown_fact_first_few_shot_structured ++train.training_args.per_device_train_batch_size=8 ++train.training_args.gradient_accumulation_steps=2
[2025-02-10 00:04:10,235][root][INFO] - Global seed set to 314
[2025-02-10 00:04:10,237][root][WARNING] - Quantisation will be done on loaded model, THIS IS A QLORA FINE-TUNING RUN
[2025-02-10 00:04:10,237][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : True 
 Perform Validation on epoch end : False
[2025-02-10 00:04:10,237][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-02-10 00:04:10,237][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-10 00:04:10,237][root][INFO] - Loading dataset from /home/fr/fr_fr/fr_rf1031/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-02-10 00:04:10,274][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-10 00:04:10,765][root][INFO] - Indexing complete, sampling of questions set to True
[2025-02-10 00:04:10,766][root][INFO] - Questions selected, dataset contains 1512 questions with 216.0 questions per domain
[2025-02-10 00:04:10,798][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'fact_first', 'response_format': 'markdown', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
[2025-02-10 00:04:12,077][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:04:41,956][root][INFO] - Quantised model meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:05:15,818][root][INFO] - Model prepared for kbit training
[2025-02-10 00:05:15,818][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=64, target_modules={'q_proj', 'gate_proj', 'k_proj', 'o_proj', 'up_proj', 'down_proj', 'v_proj'}, lora_alpha=32, lora_dropout=0.05, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None, runtime_config=LoraRuntimeConfig(ephemeral_gpu_offload=False))
[2025-02-10 00:05:17,518][root][INFO] - Lora adapter added to model
[2025-02-10 00:05:18,939][accelerate.utils.other][WARNING] - Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
{'loss': 0.0088, 'grad_norm': 0.03812875971198082, 'learning_rate': 4.2171948644182947e-07, 'epoch': 19.15}
{'loss': 0.009, 'grad_norm': 0.03676364943385124, 'learning_rate': 3.0995049003826325e-07, 'epoch': 19.26}
{'loss': 0.0089, 'grad_norm': 0.04743609577417374, 'learning_rate': 2.153114391115152e-07, 'epoch': 19.37}
{'loss': 0.0089, 'grad_norm': 0.04101159796118736, 'learning_rate': 1.3783495914291844e-07, 'epoch': 19.47}
{'loss': 0.0091, 'grad_norm': 0.038428694009780884, 'learning_rate': 7.754775905891576e-08, 'epoch': 19.58}
{'loss': 0.0085, 'grad_norm': 0.040113821625709534, 'learning_rate': 3.4470622023557995e-08, 'epoch': 19.68}
{'loss': 0.0088, 'grad_norm': 0.03974202647805214, 'learning_rate': 8.618398273779749e-09, 'epoch': 19.79}
{'loss': 0.0087, 'grad_norm': 0.03568672016263008, 'learning_rate': 0.0, 'epoch': 19.89}
{'train_runtime': 102492.2671, 'train_samples_per_second': 0.295, 'train_steps_per_second': 0.018, 'train_loss': 0.13355689869916185, 'epoch': 19.89}
Starting evaluations for job 1
Running evaluation with config: seeds=seed_206 dataset=all_domains_all_samples generation=greedy evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=trained
[2025-02-11 04:35:44,567][root][INFO] - Setting global seed to 206
[2025-02-11 04:35:44,746][root][INFO] - Running evaluation of the trained model on the test_set_1
[2025-02-11 04:35:44,746][root][INFO] - Current evaluation config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-11 04:35:44,747][root][INFO] - Loading dataset from /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/dataset/test_sets/bar_set_1.json
[2025-02-11 04:35:44,760][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-11 04:35:44,969][root][INFO] - Indexing complete, sampling of questions set to False
[2025-02-11 04:35:44,969][root][INFO] - Questions selected, dataset contains 99 questions with 14.142857142857142 questions per domain
[2025-02-11 04:35:45,158][root][INFO] - Loading model : meta-llama/Llama-2-7b-hf
[2025-02-11 04:35:45,927][root][INFO] - Full model selected, loading model
[2025-02-11 04:36:21,397][root][INFO] - Tokenizer special tokens: {'bos_token': '<s>', 'eos_token': '</s>', 'unk_token': '<unk>', 'pad_token': '[PAD]'} have been added
[2025-02-11 04:37:22,734][root][INFO] - Fine-tuned model selected, loading adapter
[2025-02-11 04:37:22,735][root][WARNING] - Inference will be done using model.generate instead of hf pipeline since peft model is not compatible with it
Evaluation failed with config: seeds=seed_206 dataset=all_domains_all_samples generation=greedy evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=trained
Running evaluation with config: seeds=seed_206 dataset=all_domains_all_samples generation=greedy evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=untrained
[2025-02-11 04:37:29,135][root][INFO] - Setting global seed to 206
[2025-02-11 04:37:29,140][root][INFO] - Running evaluation of the untrained model on the test_set_1
[2025-02-11 04:37:29,140][root][INFO] - Current evaluation config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-11 04:37:29,141][root][INFO] - Loading dataset from /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/dataset/test_sets/bar_set_1.json
[2025-02-11 04:37:29,143][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-11 04:37:29,145][root][INFO] - Indexing complete, sampling of questions set to False
[2025-02-11 04:37:29,145][root][INFO] - Questions selected, dataset contains 99 questions with 14.142857142857142 questions per domain
[2025-02-11 04:37:29,291][root][INFO] - Loading model : meta-llama/Llama-2-7b-hf
[2025-02-11 04:37:29,524][root][INFO] - Full model selected, loading model
[2025-02-11 04:37:40,481][root][INFO] - Baseline model selected, no adapter needed
[2025-02-11 04:37:40,481][root][WARNING] - Inference will be done using hf pipeline since model.generate consistently generates gibberish
[2025-02-11 04:37:48,110][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'fact_first', 'response_format': 'markdown', 'store_prompt': False, 'include_system_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${eval.prompt.response_format}_${eval.prompt.response_type}_${eval.prompt.explanation_type}.txt'}
[2025-02-11 04:37:48,114][root][INFO] - Raw output for this run will be saved to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/raw_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 04:37:48,115][root][INFO] - Starting inference
[2025-02-11 04:37:48,523][root][INFO] - Processing question number 0
[2025-02-11 04:37:48,525][root][INFO] - Domain : Civil_procedure, Question : 1
[2025-02-11 04:38:23,999][root][INFO] - Domain : Civil_procedure, Question : 7
[2025-02-11 04:38:55,164][root][INFO] - Domain : Civil_procedure, Question : 14
[2025-02-11 04:39:25,853][root][INFO] - Domain : Civil_procedure, Question : 21
[2025-02-11 04:39:57,049][root][INFO] - Domain : Civil_procedure, Question : 28
[2025-02-11 04:40:27,609][root][INFO] - Domain : Civil_procedure, Question : 35
[2025-02-11 04:40:58,119][root][INFO] - Domain : Civil_procedure, Question : 42
[2025-02-11 04:41:29,457][root][INFO] - Domain : Civil_procedure, Question : 49
[2025-02-11 04:42:00,312][root][INFO] - Domain : Civil_procedure, Question : 56
[2025-02-11 04:42:30,782][root][INFO] - Domain : Civil_procedure, Question : 63
[2025-02-11 04:43:01,987][root][INFO] - Processing question number 10
[2025-02-11 04:43:01,989][root][INFO] - Domain : Civil_procedure, Question : 69
[2025-02-11 04:43:34,440][root][INFO] - Domain : Civil_procedure, Question : 70
[2025-02-11 04:44:04,726][root][INFO] - Domain : Civil_procedure, Question : 77
[2025-02-11 04:44:35,535][root][INFO] - Domain : Civil_procedure, Question : 84
[2025-02-11 04:45:06,931][root][INFO] - Domain : Civil_procedure, Question : 91
[2025-02-11 04:45:38,298][root][INFO] - Domain : Civil_procedure, Question : 98
[2025-02-11 04:46:08,644][root][INFO] - Domain : Constitutional_law, Question : 2
[2025-02-11 04:46:38,905][root][INFO] - Domain : Constitutional_law, Question : 9
[2025-02-11 04:47:09,682][root][INFO] - Domain : Constitutional_law, Question : 17
[2025-02-11 04:47:40,428][root][INFO] - Domain : Constitutional_law, Question : 25
[2025-02-11 04:48:10,887][root][INFO] - Processing question number 20
[2025-02-11 04:48:10,890][root][INFO] - Domain : Constitutional_law, Question : 29
[2025-02-11 04:48:41,610][root][INFO] - Domain : Constitutional_law, Question : 37
[2025-02-11 04:49:12,524][root][INFO] - Domain : Constitutional_law, Question : 43
[2025-02-11 04:49:42,862][root][INFO] - Domain : Constitutional_law, Question : 55
[2025-02-11 04:50:13,149][root][INFO] - Domain : Constitutional_law, Question : 60
[2025-02-11 04:50:44,139][root][INFO] - Domain : Constitutional_law, Question : 65
[2025-02-11 04:51:14,929][root][INFO] - Domain : Constitutional_law, Question : 71
[2025-02-11 04:51:46,494][root][INFO] - Domain : Constitutional_law, Question : 79
[2025-02-11 04:52:17,245][root][INFO] - Domain : Constitutional_law, Question : 87
[2025-02-11 04:52:48,116][root][INFO] - Domain : Constitutional_law, Question : 93
[2025-02-11 04:53:18,326][root][INFO] - Processing question number 30
[2025-02-11 04:53:18,350][root][INFO] - Domain : Contracts, Question : 3
[2025-02-11 04:53:49,487][root][INFO] - Domain : Contracts, Question : 8
[2025-02-11 04:54:20,868][root][INFO] - Domain : Contracts, Question : 16
[2025-02-11 04:54:51,729][root][INFO] - Domain : Contracts, Question : 22
[2025-02-11 04:55:22,437][root][INFO] - Domain : Contracts, Question : 27
[2025-02-11 04:55:52,976][root][INFO] - Domain : Contracts, Question : 38
[2025-02-11 04:56:24,295][root][INFO] - Domain : Contracts, Question : 46
[2025-02-11 04:56:54,971][root][INFO] - Domain : Contracts, Question : 51
[2025-02-11 04:57:26,095][root][INFO] - Domain : Contracts, Question : 58
[2025-02-11 04:57:56,938][root][INFO] - Domain : Contracts, Question : 66
[2025-02-11 04:58:28,514][root][INFO] - Processing question number 40
[2025-02-11 04:58:28,531][root][INFO] - Domain : Contracts, Question : 72
[2025-02-11 04:58:59,431][root][INFO] - Domain : Contracts, Question : 81
[2025-02-11 04:59:30,325][root][INFO] - Domain : Contracts, Question : 88
[2025-02-11 05:00:01,694][root][INFO] - Domain : Contracts, Question : 94
[2025-02-11 05:00:33,020][root][INFO] - Domain : Torts, Question : 4
[2025-02-11 05:01:03,575][root][INFO] - Domain : Torts, Question : 11
[2025-02-11 05:01:34,434][root][INFO] - Domain : Torts, Question : 24
[2025-02-11 05:02:06,567][root][INFO] - Domain : Torts, Question : 32
[2025-02-11 05:02:36,517][root][INFO] - Domain : Torts, Question : 41
[2025-02-11 05:03:07,254][root][INFO] - Domain : Torts, Question : 47
[2025-02-11 05:03:38,672][root][INFO] - Processing question number 50
[2025-02-11 05:03:38,675][root][INFO] - Domain : Torts, Question : 52
[2025-02-11 05:04:10,285][root][INFO] - Domain : Torts, Question : 62
[2025-02-11 05:04:41,249][root][INFO] - Domain : Torts, Question : 76
[2025-02-11 05:05:11,454][root][INFO] - Domain : Torts, Question : 82
[2025-02-11 05:05:43,355][root][INFO] - Domain : Torts, Question : 90
[2025-02-11 05:06:14,286][root][INFO] - Domain : Torts, Question : 95
[2025-02-11 05:06:44,263][root][INFO] - Domain : Torts, Question : 99
[2025-02-11 05:07:15,838][root][INFO] - Domain : Evidence, Question : 5
[2025-02-11 05:07:46,198][root][INFO] - Domain : Evidence, Question : 12
[2025-02-11 05:08:17,610][root][INFO] - Domain : Evidence, Question : 18
[2025-02-11 05:08:49,806][root][INFO] - Processing question number 60
[2025-02-11 05:08:49,815][root][INFO] - Domain : Evidence, Question : 23
[2025-02-11 05:09:20,152][root][INFO] - Domain : Evidence, Question : 31
[2025-02-11 05:09:50,872][root][INFO] - Domain : Evidence, Question : 34
[2025-02-11 05:10:22,199][root][INFO] - Domain : Evidence, Question : 40
[2025-02-11 05:10:52,521][root][INFO] - Domain : Evidence, Question : 44
[2025-02-11 05:11:23,349][root][INFO] - Domain : Evidence, Question : 53
[2025-02-11 05:11:54,231][root][INFO] - Domain : Evidence, Question : 59
[2025-02-11 05:12:25,133][root][INFO] - Domain : Evidence, Question : 68
[2025-02-11 05:12:56,377][root][INFO] - Domain : Evidence, Question : 73
[2025-02-11 05:13:27,353][root][INFO] - Domain : Evidence, Question : 78
[2025-02-11 05:13:58,880][root][INFO] - Processing question number 70
[2025-02-11 05:13:58,885][root][INFO] - Domain : Evidence, Question : 86
[2025-02-11 05:14:29,561][root][INFO] - Domain : Evidence, Question : 96
[2025-02-11 05:15:00,284][root][INFO] - Domain : Property, Question : 6
[2025-02-11 05:15:30,819][root][INFO] - Domain : Property, Question : 13
[2025-02-11 05:16:02,033][root][INFO] - Domain : Property, Question : 20
[2025-02-11 05:16:33,199][root][INFO] - Domain : Property, Question : 33
[2025-02-11 05:17:03,610][root][INFO] - Domain : Property, Question : 39
[2025-02-11 05:17:34,871][root][INFO] - Domain : Property, Question : 48
[2025-02-11 05:18:05,992][root][INFO] - Domain : Property, Question : 54
[2025-02-11 05:18:37,251][root][INFO] - Domain : Property, Question : 61
[2025-02-11 05:19:07,935][root][INFO] - Processing question number 80
[2025-02-11 05:19:07,941][root][INFO] - Domain : Property, Question : 67
[2025-02-11 05:19:39,085][root][INFO] - Domain : Property, Question : 75
[2025-02-11 05:20:10,221][root][INFO] - Domain : Property, Question : 83
[2025-02-11 05:20:40,773][root][INFO] - Domain : Property, Question : 89
[2025-02-11 05:21:11,712][root][INFO] - Domain : Property, Question : 97
[2025-02-11 05:21:43,474][root][INFO] - Domain : Property, Question : 100
[2025-02-11 05:22:14,697][root][INFO] - Domain : Criminal_law, Question : 10
[2025-02-11 05:22:45,970][root][INFO] - Domain : Criminal_law, Question : 15
[2025-02-11 05:23:16,526][root][INFO] - Domain : Criminal_law, Question : 26
[2025-02-11 05:23:47,526][root][INFO] - Domain : Criminal_law, Question : 30
[2025-02-11 05:24:17,844][root][INFO] - Processing question number 90
[2025-02-11 05:24:17,850][root][INFO] - Domain : Criminal_law, Question : 36
[2025-02-11 05:24:49,613][root][INFO] - Domain : Criminal_law, Question : 45
[2025-02-11 05:25:19,461][root][INFO] - Domain : Criminal_law, Question : 50
[2025-02-11 05:25:50,192][root][INFO] - Domain : Criminal_law, Question : 57
[2025-02-11 05:26:20,192][root][INFO] - Domain : Criminal_law, Question : 64
[2025-02-11 05:26:51,465][root][INFO] - Domain : Criminal_law, Question : 74
[2025-02-11 05:27:21,779][root][INFO] - Domain : Criminal_law, Question : 80
[2025-02-11 05:27:52,437][root][INFO] - Domain : Criminal_law, Question : 85
[2025-02-11 05:28:23,368][root][INFO] - Domain : Criminal_law, Question : 92
[2025-02-11 05:28:54,759][root][INFO] - Inference complete
[2025-02-11 05:28:54,759][root][INFO] - Saving raw outputs to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/raw_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,774][root][INFO] - Starting parsing of raw outputs to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/parsed_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,778][root][ERROR] - |Q. 22||D: Contracts| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,781][root][ERROR] - |Q. 82||D: Torts| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,781][root][ERROR] - |Q. 12||D: Evidence| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,781][root][ERROR] - |Q. 12||D: Evidence| Failed to extract chosen option: 
[2025-02-11 05:28:54,783][root][ERROR] - |Q. 13||D: Property| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,783][root][ERROR] - |Q. 39||D: Property| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,784][root][ERROR] - |Q. 100||D: Property| Failed to extract Legal_conclusion: 
[2025-02-11 05:28:54,787][root][INFO] - Saving parsed outputs to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/parsed_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,793][root][INFO] - Dumped the response to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/parsed_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,793][root][INFO] - Saved parsed outputs
[2025-02-11 05:28:54,793][root][INFO] - Saving parsing metadata to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/parsing_metadata/raw_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,795][root][INFO] - Dumped the stats to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/parsing_metadata/raw_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,795][root][INFO] - Saved parsing metadata
[2025-02-11 05:28:54,800][root][INFO] - Metrics will be saved to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/metrics/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,840][root][INFO] - Metrics calculated, saving backup to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/metrics/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:28:54,842][root][INFO] - Dumped the metrics to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/metrics/llama2/seed_206/all_domains_all_samples/untrained_full_model/greedy/markdown_fact_first_few_shot_structured/test_set_1.json
Metrics successfully appended to master CSV.
[2025-02-11 05:28:55,480][root][INFO] - Evaluation completed for markdown_fact_first_few_shot_structured, on test_set_1
[2025-02-11 05:28:55,480][root][INFO] - Summary of metrics : {'label_accuracy': 0.35353535353535354, 'misclassification_rate': 0.6464646464646464, 'combined_accuracy': 0.2222222222222222, 'malformed_label': 1, 'malformed_domain': 31, 'total_predictions': 99, 'correct_predictions': 35, 'correct_label_and_domain': 22, 'Constitutional_Law_accuracy': 0.14285714285714285, 'Contracts_accuracy': 0.2857142857142857, 'Criminal_Law_accuracy': 0.46153846153846156, 'Evidence_accuracy': 0.06666666666666667, 'Real_Property_accuracy': 0.07142857142857142, 'Torts_accuracy': 0.38461538461538464, 'Civil_Procedure_accuracy': 0.1875, 'Constitutional_Law_confidence': 0.13131313131313133, 'Contracts_confidence': 0.2222222222222222, 'Criminal_Law_confidence': 0.18181818181818182, 'Evidence_confidence': 0.06060606060606061, 'Real_Property_confidence': 0.050505050505050504, 'Torts_confidence': 0.13131313131313133, 'Civil_Procedure_confidence': 0.08080808080808081, 'correct_domain_wrong_label': 46, 'correct_label_wrong_domain': 13, 'both_wrong': 18}
Running evaluation with config: seeds=seed_206 dataset=all_domains_all_samples generation=temp_025 evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=trained
[2025-02-11 05:29:19,388][root][INFO] - Setting global seed to 206
[2025-02-11 05:29:19,502][root][INFO] - Running evaluation of the trained model on the test_set_1
[2025-02-11 05:29:19,503][root][INFO] - Current evaluation config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-11 05:29:19,504][root][INFO] - Loading dataset from /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/dataset/test_sets/bar_set_1.json
[2025-02-11 05:29:19,505][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-11 05:29:19,526][root][INFO] - Indexing complete, sampling of questions set to False
[2025-02-11 05:29:19,526][root][INFO] - Questions selected, dataset contains 99 questions with 14.142857142857142 questions per domain
[2025-02-11 05:29:19,881][root][INFO] - Loading model : meta-llama/Llama-2-7b-hf
[2025-02-11 05:29:20,150][root][INFO] - Full model selected, loading model
[2025-02-11 05:29:33,603][root][INFO] - Tokenizer special tokens: {'bos_token': '<s>', 'eos_token': '</s>', 'unk_token': '<unk>', 'pad_token': '[PAD]'} have been added
[2025-02-11 05:30:31,674][root][INFO] - Fine-tuned model selected, loading adapter
[2025-02-11 05:30:31,674][root][WARNING] - Inference will be done using model.generate instead of hf pipeline since peft model is not compatible with it
Evaluation failed with config: seeds=seed_206 dataset=all_domains_all_samples generation=temp_025 evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=trained
Running evaluation with config: seeds=seed_206 dataset=all_domains_all_samples generation=temp_025 evaluation_dataset=test_set_1 eval=markdown_fact_first_few_shot_structured ++eval.quantisation_status=full_model ++eval.training_status=untrained
[2025-02-11 05:30:37,916][root][INFO] - Setting global seed to 206
[2025-02-11 05:30:37,922][root][INFO] - Running evaluation of the untrained model on the test_set_1
[2025-02-11 05:30:37,922][root][INFO] - Current evaluation config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-11 05:30:37,923][root][INFO] - Loading dataset from /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/dataset/test_sets/bar_set_1.json
[2025-02-11 05:30:37,925][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-11 05:30:37,926][root][INFO] - Indexing complete, sampling of questions set to False
[2025-02-11 05:30:37,927][root][INFO] - Questions selected, dataset contains 99 questions with 14.142857142857142 questions per domain
[2025-02-11 05:30:38,068][root][INFO] - Loading model : meta-llama/Llama-2-7b-hf
[2025-02-11 05:30:38,310][root][INFO] - Full model selected, loading model
[2025-02-11 05:30:57,024][root][INFO] - Baseline model selected, no adapter needed
[2025-02-11 05:30:57,024][root][WARNING] - Inference will be done using hf pipeline since model.generate consistently generates gibberish
[2025-02-11 05:31:03,209][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'fact_first', 'response_format': 'markdown', 'store_prompt': False, 'include_system_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${eval.prompt.response_format}_${eval.prompt.response_type}_${eval.prompt.explanation_type}.txt'}
[2025-02-11 05:31:03,210][root][INFO] - Raw output for this run will be saved to /pfs/data5/home/fr/fr_fr/fr_rf1031/bar-llama/model_outputs/raw_responses/llama2/seed_206/all_domains_all_samples/untrained_full_model/temp_025/markdown_fact_first_few_shot_structured/test_set_1.json
[2025-02-11 05:31:03,211][root][INFO] - Starting inference
[2025-02-11 05:31:03,453][root][INFO] - Processing question number 0
[2025-02-11 05:31:03,455][root][INFO] - Domain : Civil_procedure, Question : 1
[2025-02-11 05:31:37,951][root][INFO] - Domain : Civil_procedure, Question : 7
[2025-02-11 05:32:09,272][root][INFO] - Domain : Civil_procedure, Question : 14
[2025-02-11 05:32:40,124][root][INFO] - Domain : Civil_procedure, Question : 21
[2025-02-11 05:33:11,478][root][INFO] - Domain : Civil_procedure, Question : 28
[2025-02-11 05:33:42,190][root][INFO] - Domain : Civil_procedure, Question : 35
[2025-02-11 05:34:12,858][root][INFO] - Domain : Civil_procedure, Question : 42
[2025-02-11 05:34:44,357][root][INFO] - Domain : Civil_procedure, Question : 49
[2025-02-11 05:35:15,373][root][INFO] - Domain : Civil_procedure, Question : 56
[2025-02-11 05:35:45,997][root][INFO] - Domain : Civil_procedure, Question : 63
[2025-02-11 05:36:17,349][root][INFO] - Processing question number 10
[2025-02-11 05:36:17,351][root][INFO] - Domain : Civil_procedure, Question : 69
[2025-02-11 05:36:49,963][root][INFO] - Domain : Civil_procedure, Question : 70
[2025-02-11 05:37:20,393][root][INFO] - Domain : Civil_procedure, Question : 77
[2025-02-11 05:37:51,350][root][INFO] - Domain : Civil_procedure, Question : 84
[2025-02-11 05:38:22,894][root][INFO] - Domain : Civil_procedure, Question : 91
[2025-02-11 05:38:54,414][root][INFO] - Domain : Civil_procedure, Question : 98
[2025-02-11 05:39:24,911][root][INFO] - Domain : Constitutional_law, Question : 2
[2025-02-11 05:39:55,331][root][INFO] - Domain : Constitutional_law, Question : 9
[2025-02-11 05:40:26,255][root][INFO] - Domain : Constitutional_law, Question : 17
[2025-02-11 05:40:57,155][root][INFO] - Domain : Constitutional_law, Question : 25
[2025-02-11 05:41:27,766][root][INFO] - Processing question number 20
[2025-02-11 05:41:27,768][root][INFO] - Domain : Constitutional_law, Question : 29
[2025-02-11 05:41:58,640][root][INFO] - Domain : Constitutional_law, Question : 37
[2025-02-11 05:42:29,701][root][INFO] - Domain : Constitutional_law, Question : 43
[2025-02-11 05:43:00,191][root][INFO] - Domain : Constitutional_law, Question : 55
[2025-02-11 05:43:30,619][root][INFO] - Domain : Constitutional_law, Question : 60
[2025-02-11 05:44:01,755][root][INFO] - Domain : Constitutional_law, Question : 65
[2025-02-11 05:44:32,691][root][INFO] - Domain : Constitutional_law, Question : 71
[2025-02-11 05:45:04,408][root][INFO] - Domain : Constitutional_law, Question : 79
[2025-02-11 05:45:35,306][root][INFO] - Domain : Constitutional_law, Question : 87
[2025-02-11 05:46:06,331][root][INFO] - Domain : Constitutional_law, Question : 93
[2025-02-11 05:46:36,690][root][INFO] - Processing question number 30
[2025-02-11 05:46:36,693][root][INFO] - Domain : Contracts, Question : 3
[2025-02-11 05:47:07,979][root][INFO] - Domain : Contracts, Question : 8
[2025-02-11 05:47:39,511][root][INFO] - Domain : Contracts, Question : 16
[2025-02-11 05:48:10,527][root][INFO] - Domain : Contracts, Question : 22
[2025-02-11 05:48:41,385][root][INFO] - Domain : Contracts, Question : 27
[2025-02-11 05:49:12,080][root][INFO] - Domain : Contracts, Question : 38
[2025-02-11 05:49:43,547][root][INFO] - Domain : Contracts, Question : 46
[2025-02-11 05:50:14,376][root][INFO] - Domain : Contracts, Question : 51
[2025-02-11 05:50:45,655][root][INFO] - Domain : Contracts, Question : 58
[2025-02-11 05:51:16,660][root][INFO] - Domain : Contracts, Question : 66
[2025-02-11 05:51:48,389][root][INFO] - Processing question number 40
